"student_id","subsection","lecture_points","watched_seconds"
14,"Lecture-11",0,0
14,"Lecture-12",0,0
14,"Lecture-13",0,0
14,"Lecture-14",0,0
14,"Lecture-15",0,0
14,"Lecture-16",0,0
14,"Lecture-2",0,0
14,"Lecture-3",0,0
14,"Lecture-4",0,0
14,"Lecture-5",0,0
14,"Lecture-6",0,0
14,"Lecture-7",0,0
14,"Lecture-8",0,0
14,"Lecture-9",0,0
15,"Lecture-1",0,0
15,"Lecture-10",0,0
15,"Lecture-11",0,0
15,"Lecture-12",0,0
15,"Lecture-13",0,0
15,"Lecture-14",0,0
15,"Lecture-15",0,0
15,"Lecture-16",0,0
15,"Lecture-2",0,0
15,"Lecture-3",0,0
15,"Lecture-4",0,0
15,"Lecture-5",0,0
15,"Lecture-6",0,0
15,"Lecture-7",0,0
15,"Lecture-8",0,0
15,"Lecture-9",0,0
16,"Lecture-1",0,0
16,"Lecture-10",0,0
16,"Lecture-11",0,0
16,"Lecture-12",0,0
16,"Lecture-13",0,0
16,"Lecture-14",0,0
16,"Lecture-15",0,0
16,"Lecture-16",0,0
16,"Lecture-2",0,0
16,"Lecture-3",0,0
16,"Lecture-4",0,0
16,"Lecture-5",0,0
16,"Lecture-6",0,0
16,"Lecture-7",0,0
16,"Lecture-8",0,0
16,"Lecture-9",0,0
17,"Lecture-1",0,0
17,"Lecture-10",0,0
17,"Lecture-11",0,0
17,"Lecture-12",0,0
17,"Lecture-13",0,0
17,"Lecture-14",0,0
17,"Lecture-15",0,0
17,"Lecture-16",0,0
17,"Lecture-2",0,0
17,"Lecture-3",0,0
17,"Lecture-4",0,0
17,"Lecture-5",0,0
17,"Lecture-6",0,0
17,"Lecture-7",0,0
17,"Lecture-8",0,0
17,"Lecture-9",0,0
18,"Lecture-1",0,0
18,"Lecture-10",0,0
18,"Lecture-11",0,0
18,"Lecture-12",0,0
18,"Lecture-13",0,0
18,"Lecture-14",0,0
18,"Lecture-15",0,0
18,"Lecture-16",0,0
18,"Lecture-2",0,0
18,"Lecture-3",0,0
18,"Lecture-4",0,0
18,"Lecture-5",0,0
18,"Lecture-6",0,0
18,"Lecture-7",0,0
18,"Lecture-8",0,0
18,"Lecture-9",0,0
19,"Lecture-1",0,0
19,"Lecture-10",0,0
19,"Lecture-11",0,0
19,"Lecture-12",0,0
19,"Lecture-13",0,0
19,"Lecture-14",0,0
19,"Lecture-15",0,0
19,"Lecture-16",0,0
19,"Lecture-2",0,0
19,"Lecture-3",0,0
19,"Lecture-4",0,0
19,"Lecture-5",0,0
19,"Lecture-6",0,0
19,"Lecture-7",0,0
19,"Lecture-8",0,0
19,"Lecture-9",0,0
20,"Lecture-1",0,0
20,"Lecture-10",0,0
20,"Lecture-11",0,0
20,"Lecture-12",0,0
20,"Lecture-13",0,0
20,"Lecture-14",0,0
20,"Lecture-15",0,0
20,"Lecture-16",0,0
20,"Lecture-2",0,0
20,"Lecture-3",0,0
20,"Lecture-4",0,0
20,"Lecture-5",0,0
20,"Lecture-6",0,0
20,"Lecture-7",0,0
20,"Lecture-8",0,0
20,"Lecture-9",0,0
21,"Lecture-1",0,0
21,"Lecture-10",0,0
21,"Lecture-11",0,0
21,"Lecture-12",0,0
21,"Lecture-13",0,0
21,"Lecture-14",0,0
21,"Lecture-15",0,0
21,"Lecture-16",0,0
21,"Lecture-2",0,0
21,"Lecture-3",0,0
21,"Lecture-4",0,0
21,"Lecture-5",0,0
21,"Lecture-6",0,0
21,"Lecture-7",0,0
21,"Lecture-8",0,0
21,"Lecture-9",0,0
22,"Lecture-1",0,0
22,"Lecture-10",0,0
22,"Lecture-11",0,0
22,"Lecture-12",0,0
22,"Lecture-13",0,0
22,"Lecture-14",0,0
22,"Lecture-15",0,0
22,"Lecture-16",0,0
22,"Lecture-2",0,0
22,"Lecture-3",0,0
22,"Lecture-4",0,0
22,"Lecture-5",0,0
22,"Lecture-6",0,0
22,"Lecture-7",0,0
22,"Lecture-8",0,0
22,"Lecture-9",0,0
23,"Lecture-1",0,0
23,"Lecture-10",0,0
23,"Lecture-11",0,0
23,"Lecture-12",0,0
23,"Lecture-13",0,0
23,"Lecture-14",0,0
23,"Lecture-15",0,0
23,"Lecture-16",0,0
23,"Lecture-2",0,0
23,"Lecture-3",0,0
23,"Lecture-4",0,0
23,"Lecture-5",0,0
23,"Lecture-6",0,0
23,"Lecture-7",0,0
23,"Lecture-8",0,0
23,"Lecture-9",0,0
24,"Lecture-1",0,0
24,"Lecture-10",0,0
24,"Lecture-11",0,0
24,"Lecture-12",0,0
24,"Lecture-13",0,0
24,"Lecture-14",0,0
24,"Lecture-15",0,0
24,"Lecture-16",0,0
24,"Lecture-2",0,0
24,"Lecture-3",0,0
24,"Lecture-4",0,0
24,"Lecture-5",0,0
24,"Lecture-6",0,0
24,"Lecture-7",0,0
24,"Lecture-8",0,0
24,"Lecture-9",0,0
25,"Lecture-1",0,0
25,"Lecture-10",0,0
25,"Lecture-11",0,0
25,"Lecture-12",0,0
25,"Lecture-13",0,0
25,"Lecture-14",0,0
25,"Lecture-15",0,0
25,"Lecture-16",0,0
25,"Lecture-2",0,0
25,"Lecture-3",0,0
25,"Lecture-4",0,0
25,"Lecture-5",0,0
25,"Lecture-6",0,0
25,"Lecture-7",0,0
25,"Lecture-8",0,0
25,"Lecture-9",0,0
26,"Lecture-1",0,0
26,"Lecture-10",0,0
26,"Lecture-11",0,0
26,"Lecture-12",0,0
26,"Lecture-13",0,0
26,"Lecture-14",0,0
26,"Lecture-15",0,0
26,"Lecture-16",0,0
26,"Lecture-2",0,0
26,"Lecture-3",0,0
26,"Lecture-4",0,0
26,"Lecture-5",0,0
26,"Lecture-6",0,0
26,"Lecture-7",0,0
26,"Lecture-8",0,0
26,"Lecture-9",0,0
27,"Lecture-1",0,0
27,"Lecture-10",0,0
27,"Lecture-11",0,0
27,"Lecture-12",0,0
27,"Lecture-13",0,0
27,"Lecture-14",0,0
27,"Lecture-15",0,0
27,"Lecture-16",0,0
27,"Lecture-2",0,0
27,"Lecture-3",0,0
27,"Lecture-4",0,0
27,"Lecture-5",0,0
27,"Lecture-6",0,0
27,"Lecture-7",0,0
27,"Lecture-8",0,0
27,"Lecture-9",0,0
28,"Lecture-1",0,0
28,"Lecture-10",0,0
28,"Lecture-11",0,0
28,"Lecture-12",0,0
28,"Lecture-13",0,0
28,"Lecture-14",0,0
28,"Lecture-15",0,0
28,"Lecture-16",0,0
28,"Lecture-2",0,0
28,"Lecture-3",0,0
28,"Lecture-4",0,0
28,"Lecture-5",0,0
28,"Lecture-6",0,0
28,"Lecture-7",0,0
28,"Lecture-8",0,0
28,"Lecture-9",0,0
29,"Lecture-1",0,0
29,"Lecture-10",0,0
29,"Lecture-11",0,0
29,"Lecture-12",0,0
29,"Lecture-13",0,0
29,"Lecture-14",0,0
29,"Lecture-15",0,0
29,"Lecture-16",0,0
29,"Lecture-2",0,0
29,"Lecture-3",0,0
29,"Lecture-4",0,0
29,"Lecture-5",0,0
29,"Lecture-6",0,0
29,"Lecture-7",0,0
29,"Lecture-8",0,0
29,"Lecture-9",0,0
30,"Lecture-1",0,0
30,"Lecture-10",0,0
30,"Lecture-11",0,0
30,"Lecture-12",0,0
30,"Lecture-13",0,0
30,"Lecture-14",0,0
30,"Lecture-15",0,0
30,"Lecture-16",0,0
30,"Lecture-2",0,0
30,"Lecture-3",0,0
30,"Lecture-4",0,0
30,"Lecture-5",0,0
30,"Lecture-6",0,0
30,"Lecture-7",0,0
30,"Lecture-8",0,0
30,"Lecture-9",0,0
31,"Lecture-1",0,0
31,"Lecture-10",0,0
31,"Lecture-11",0,0
31,"Lecture-12",0,0
31,"Lecture-13",0,0
31,"Lecture-14",0,0
31,"Lecture-15",0,0
31,"Lecture-16",0,0
31,"Lecture-2",0,0
31,"Lecture-3",0,0
31,"Lecture-4",0,0
31,"Lecture-5",0,0
31,"Lecture-6",0,0
31,"Lecture-7",0,0
31,"Lecture-8",0,0
31,"Lecture-9",0,0
32,"Lecture-1",0,0
32,"Lecture-10",0,0
32,"Lecture-11",0,0
32,"Lecture-12",0,0
32,"Lecture-13",0,0
32,"Lecture-14",0,0
32,"Lecture-15",0,0
32,"Lecture-16",0,0
32,"Lecture-2",0,0
32,"Lecture-3",0,0
32,"Lecture-4",0,0
32,"Lecture-5",0,0
32,"Lecture-6",0,0
32,"Lecture-7",0,0
32,"Lecture-8",0,0
32,"Lecture-9",0,0
33,"Lecture-1",0,0
33,"Lecture-10",0,0
33,"Lecture-11",0,0
33,"Lecture-12",0,0
33,"Lecture-13",0,0
33,"Lecture-14",0,0
33,"Lecture-15",0,0
33,"Lecture-16",0,0
33,"Lecture-2",0,0
33,"Lecture-3",0,0
33,"Lecture-4",0,0
33,"Lecture-5",0,0
33,"Lecture-6",0,0
33,"Lecture-7",0,0
33,"Lecture-8",0,0
33,"Lecture-9",0,0
34,"Lecture-1",0,0
34,"Lecture-10",0,0
34,"Lecture-11",0,0
34,"Lecture-12",0,0
34,"Lecture-13",0,0
34,"Lecture-14",0,0
34,"Lecture-15",0,0
34,"Lecture-16",0,0
34,"Lecture-2",0,0
34,"Lecture-3",0,0
34,"Lecture-4",0,0
34,"Lecture-5",0,0
34,"Lecture-6",0,0
34,"Lecture-7",0,0
34,"Lecture-8",0,0
34,"Lecture-9",0,0
35,"Lecture-1",0,0
35,"Lecture-10",0,0
35,"Lecture-11",0,0
35,"Lecture-12",0,0
35,"Lecture-13",0,0
35,"Lecture-14",0,0
35,"Lecture-15",0,0
35,"Lecture-16",0,0
35,"Lecture-2",0,0
35,"Lecture-3",0,0
35,"Lecture-4",0,0
35,"Lecture-5",0,0
35,"Lecture-6",0,0
35,"Lecture-7",0,0
35,"Lecture-8",0,0
35,"Lecture-9",0,0
36,"Lecture-1",0,0
36,"Lecture-10",0,0
36,"Lecture-11",0,0
36,"Lecture-12",0,0
36,"Lecture-13",0,0
36,"Lecture-14",0,0
36,"Lecture-15",0,0
36,"Lecture-16",0,0
36,"Lecture-2",0,0
36,"Lecture-3",0,0
36,"Lecture-4",0,0
36,"Lecture-5",0,0
36,"Lecture-6",0,0
36,"Lecture-7",0,0
36,"Lecture-8",0,0
36,"Lecture-9",0,0
37,"Lecture-1",0,0
37,"Lecture-10",0,0
37,"Lecture-11",0,0
37,"Lecture-12",0,0
37,"Lecture-13",0,0
37,"Lecture-14",0,0
37,"Lecture-15",0,0
37,"Lecture-16",0,0
37,"Lecture-2",0,0
37,"Lecture-3",0,0
37,"Lecture-4",0,0
37,"Lecture-5",0,0
37,"Lecture-6",0,0
37,"Lecture-7",0,0
37,"Lecture-8",0,0
37,"Lecture-9",0,0
38,"Lecture-1",0,0
38,"Lecture-10",0,0
38,"Lecture-11",0,0
38,"Lecture-12",0,0
38,"Lecture-13",0,0
38,"Lecture-14",0,0
38,"Lecture-15",0,0
38,"Lecture-16",0,0
38,"Lecture-2",0,0
38,"Lecture-3",0,0
38,"Lecture-4",0,0
38,"Lecture-5",0,0
38,"Lecture-6",0,0
38,"Lecture-7",0,0
38,"Lecture-8",0,0
38,"Lecture-9",0,0
39,"Lecture-1",0,0
39,"Lecture-10",0,0
39,"Lecture-11",0,0
39,"Lecture-12",0,0
39,"Lecture-13",0,0
39,"Lecture-14",0,0
39,"Lecture-15",0,0
39,"Lecture-16",0,0
39,"Lecture-2",0,0
39,"Lecture-3",0,0
39,"Lecture-4",0,0
39,"Lecture-5",0,0
39,"Lecture-6",0,0
39,"Lecture-7",0,0
39,"Lecture-8",0,0
39,"Lecture-9",0,0
40,"Lecture-1",0,0
40,"Lecture-10",0,0
40,"Lecture-11",0,0
40,"Lecture-12",0,0
40,"Lecture-13",0,0
40,"Lecture-14",0,0
40,"Lecture-15",0,0
40,"Lecture-16",0,0
40,"Lecture-2",0,0
40,"Lecture-3",0,0
40,"Lecture-4",0,0
40,"Lecture-5",0,0
40,"Lecture-6",0,0
40,"Lecture-7",0,0
40,"Lecture-8",0,0
40,"Lecture-9",0,0
41,"Lecture-1",0,0
41,"Lecture-10",0,0
41,"Lecture-11",0,0
41,"Lecture-12",0,0
41,"Lecture-13",0,0
41,"Lecture-14",0,0
41,"Lecture-15",0,0
41,"Lecture-16",0,0
41,"Lecture-2",0,0
41,"Lecture-3",0,0
41,"Lecture-4",0,0
41,"Lecture-5",0,0
41,"Lecture-6",0,0
41,"Lecture-7",0,0
41,"Lecture-8",0,0
41,"Lecture-9",0,0
42,"Lecture-1",0,0
42,"Lecture-10",0,0
42,"Lecture-11",0,0
42,"Lecture-12",0,0
42,"Lecture-13",0,0
42,"Lecture-14",0,0
42,"Lecture-15",0,0
42,"Lecture-16",0,0
42,"Lecture-2",0,0
42,"Lecture-3",0,0
42,"Lecture-4",0,0
42,"Lecture-5",0,0
42,"Lecture-6",0,0
42,"Lecture-7",0,0
42,"Lecture-8",0,0
42,"Lecture-9",0,0
43,"Lecture-1",0,0
43,"Lecture-10",0,0
43,"Lecture-11",0,0
43,"Lecture-12",0,0
43,"Lecture-13",0,0
43,"Lecture-14",0,0
43,"Lecture-15",0,0
43,"Lecture-16",0,0
43,"Lecture-2",0,0
43,"Lecture-3",0,0
43,"Lecture-4",0,0
43,"Lecture-5",0,0
43,"Lecture-6",0,0
