"","student_id","subsection","lecture_points","video_seconds"
"164",10,"Lecture 12",0,0
"165",10,"Lecture 13",0,0
"166",10,"Lecture 14",0,0
"167",10,"Lecture 15",0,0
"168",10,"Lecture 16",0,0
"169",10,"Lecture 2",0,1273
"170",10,"Lecture 3",0,3427
"171",10,"Lecture 4",0,3459
"172",10,"Lecture 5",0,1483
"173",10,"Lecture 6",0,3696
"174",10,"Lecture 7",0,3169
"175",10,"Lecture 8",0,0
"176",10,"Lecture 9",0,0
"177",11,"Lecture 1",0,387
"178",11,"Lecture 10",0,0
"179",11,"Lecture 11",0,0
"180",11,"Lecture 12",0,0
"181",11,"Lecture 13",0,0
"182",11,"Lecture 14",0,0
"183",11,"Lecture 15",0,0
"184",11,"Lecture 16",0,0
"185",11,"Lecture 2",0,0
"186",11,"Lecture 3",0,0
"187",11,"Lecture 4",0,0
"188",11,"Lecture 5",0,0
"189",11,"Lecture 6",0,0
"190",11,"Lecture 7",0,0
"191",11,"Lecture 8",0,0
"192",11,"Lecture 9",0,0
"193",12,"Lecture 1",0,1743
"194",12,"Lecture 10",0,0
"195",12,"Lecture 11",0,0
"196",12,"Lecture 12",0,0
"197",12,"Lecture 13",0,0
"198",12,"Lecture 14",0,0
"199",12,"Lecture 15",0,0
"200",12,"Lecture 16",0,0
"201",12,"Lecture 2",0,0
"202",12,"Lecture 3",0,0
"203",12,"Lecture 4",0,0
"204",12,"Lecture 5",0,0
"205",12,"Lecture 6",0,0
"206",12,"Lecture 7",0,0
"207",12,"Lecture 8",0,0
"208",12,"Lecture 9",0,0
"209",13,"Lecture 1",1,1356
"210",13,"Lecture 10",0,0
"211",13,"Lecture 11",0,0
"212",13,"Lecture 12",0,0
"213",13,"Lecture 13",0,0
"214",13,"Lecture 14",0,0
"215",13,"Lecture 15",0,0
"216",13,"Lecture 16",0,0
"217",13,"Lecture 2",0,0
"218",13,"Lecture 3",0,0
"219",13,"Lecture 4",0,0
"220",13,"Lecture 5",0,0
"221",13,"Lecture 6",0,0
"222",13,"Lecture 7",0,0
"223",13,"Lecture 8",0,0
"224",13,"Lecture 9",0,0
"225",14,"Lecture 1",2,2880
"226",14,"Lecture 10",0,0
"227",14,"Lecture 11",0,0
"228",14,"Lecture 12",0,0
"229",14,"Lecture 13",0,0
"230",14,"Lecture 14",0,0
"231",14,"Lecture 15",0,0
"232",14,"Lecture 16",0,0
"233",14,"Lecture 2",0,1390
"234",14,"Lecture 3",0,3139
"235",14,"Lecture 4",0,3346
"236",14,"Lecture 5",0,1377
"237",14,"Lecture 6",0,1277
"238",14,"Lecture 7",0,0
"239",14,"Lecture 8",0,0
"240",14,"Lecture 9",0,0
"241",15,"Lecture 1",0,0
"242",15,"Lecture 10",0,0
"243",15,"Lecture 11",0,0
"244",15,"Lecture 12",0,0
"245",15,"Lecture 13",0,0
"246",15,"Lecture 14",0,0
"247",15,"Lecture 15",0,0
"248",15,"Lecture 16",0,0
"249",15,"Lecture 2",0,0
"250",15,"Lecture 3",0,0
"251",15,"Lecture 4",0,0
"252",15,"Lecture 5",0,0
"253",15,"Lecture 6",0,0
"254",15,"Lecture 7",0,0
"255",15,"Lecture 8",0,0
"256",15,"Lecture 9",0,0
"257",16,"Lecture 1",0,1090
"258",16,"Lecture 10",0,0
"259",16,"Lecture 11",0,0
"260",16,"Lecture 12",0,0
"261",16,"Lecture 13",0,0
"262",16,"Lecture 14",0,0
"263",16,"Lecture 15",0,0
"264",16,"Lecture 16",0,0
"265",16,"Lecture 2",0,0
"266",16,"Lecture 3",0,0
"267",16,"Lecture 4",0,0
"268",16,"Lecture 5",0,0
"269",16,"Lecture 6",0,0
"270",16,"Lecture 7",0,0
"271",16,"Lecture 8",0,0
"272",16,"Lecture 9",0,0
"273",17,"Lecture 1",0,476
"274",17,"Lecture 10",0,0
"275",17,"Lecture 11",0,0
"276",17,"Lecture 12",0,0
"277",17,"Lecture 13",0,0
"278",17,"Lecture 14",0,0
"279",17,"Lecture 15",0,0
"280",17,"Lecture 16",0,0
"281",17,"Lecture 2",0,205
"282",17,"Lecture 3",1,0
"283",17,"Lecture 4",0,0
"284",17,"Lecture 5",0,0
"285",17,"Lecture 6",0,0
"286",17,"Lecture 7",0,0
